Country,Including other than depository corporations,1990,1991,1992,1994,1996,1997,1999,2009,2010,2012,2014,2015,2016,2017,2020,2021,2022,2023,Notes for:
Guatemala,Yes,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,Q3,,,Q3,,,,,,,,,
Haiti,,Q3,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",Yes,,,,,,,,,,,,,,,,,,Q3,
Hungary,Yes,,,,,,,,,,,,,,,,,,Q3,
India,Yes,,,,,,,,,,,,,,,,,,Q3,
Indonesia,Yes,,,,,,,,,,,,,,,,,,Q3,
Ireland,Yes,,,,,,,,,,,,,,,,,,Q3,
Israel,Yes,,,,,,,,,,,,,,,,,,Q3,
Italy,Yes,,,,,,,,,,,,,,,,,,Q3,
Japan,Yes,,,,,,,,,,,,,,,,,,Q3,
"Korea, Rep.",Yes,,,,,,,,,,,,,,,,,,Q3,
Kuwait,,Q2,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,Q3,,,,,,,,,,,,,,Q3,
Latvia,,,,,,,,,Q2,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,Q1,,,,,
Libya,,,,,,,,,,,,,,,,,,Q2,,
Lithuania,,,,,,,,,Q2,,,,,,,,,,,
Luxembourg,Yes,,,,,,,,,,,,,,,,,,Q3,
Malaysia,Yes,,,,,,,,,,,,,,,,,,Q3,
Mexico,Yes,,,,,,,,,,,,,,,,,,Q3,
Netherlands,Yes,,,,,,,,,,,,,,,,,,Q3,
New Zealand,Yes,,,,,,,,,,,,,,,,,,Q3,
Nicaragua,Yes,,,,,,,,,,,,,,,,,,Q3,
Nigeria,,,,,,,,,,,,,,,,,,,Q3,
Norway,Yes,,,,,,,,,,,,,,,,,,Q3,
Panama,,,,,,,,,,,,,,,,,Q2,,,
Peru,,,,,,,,,,,,,,,,,,,Q2,
Poland,Yes,,,,,,,,,,,,,,,,,,Q3,
Portugal,Yes,,,,,,,,,,,,,,,,,,Q3,
Russian Federation,Yes,,,,,,,,,,,,,,,,,,Q3,
Sao Tome & Principe,,,,,,,,,,,,,,,,,,,Q3,
Saudi Arabia,Yes,,,,,,,,,,,,,,,,,,Q3,
Seychelles,,,,,,,,,,,,,,,Q2,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,Q3,
Singapore,Yes,,,,,,,,,,,,,,,,,,Q3,
Solomon Islands,Yes,,,,,,,,,,,,,,,,,,,
Somalia,,Q1,,,,,,,,,,,,,,,,,,
South Africa,Yes,,,,,,,,,,,,,,,,,,Q3,
Spain,Yes,,,,,,,,,,,,,,,,,,Q3,
Sri Lanka,,,,,,,,,,,,,,,,Q1,,,,
Sweden,Yes,,,,,,,,,,,,,,,,,,Q3,
Switzerland,Yes,,,,,,,,,,,,,,,,,,Q3,
Thailand,Yes,,,,,,,,,,,,,,,,,,Q3,
Turkiye,Yes,,,,,,,,,,,,,,,,,,Q3,
Uganda,,Q2,Q2,,,,,,,,,,,,,,,,,
United Kingdom,Yes,,,,,,,,,,,,,,,,,,Q3,
United States,Yes,,,,,,,,,,,,,,,,,,Q3,
Vanuatu,,,,,,,,,,,,,,,,,,,Q3,
"Venezuela, RB",,,,,,,,,,,,Q2,,,,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,,Q3,
"Yemen, Rep.",,,,,,,,,,,,Q2,,,,,,,,
